"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1.4",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 3.3.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 1.0.1), utils, waldo (>=
0.4.0), withr (>= 2.4.3)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"texreg","texreg","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.37.5",NA,"R (>= 3.5)","methods, stats, httr",NA,"broom (>= 0.4.2), coda (>= 0.19.2), ggplot2 (>= 3.1.0),
huxtable (>= 4.2.0), knitr (>= 1.22), rmarkdown (>= 1.12.3),
sandwich (>= 2.3-1), testthat (>= 2.0.0), lmtest (>= 0.9-34)","AER, alpaca, bife, biglm, brms (>= 2.8.8), btergm, dynlm,
feisr (>= 1.0.1), forecast, gamlss, gamlss.inf, glmmTMB, lfe,
lme4, miceadds, mlogit, mnlogit, MuMIn, nlme, nnet, ordinal,
plm, speedglm, survival, VGAM, Zelig","GPL-3",NA,NA,NA,NA,"no","4.0.2"
"TH.data","TH.data","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-10",NA,"R (>= 2.10.0), survival, MASS",NA,NA,"dplyr, gdata, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"thear","thear","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,NA,NA,NA,NA,"What license is it under?",NA,NA,NA,NA,"no","4.0.3"
"thematic","thematic","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.2.9000",NA,"R (>= 3.0.0)","utils, graphics, grDevices, grid, farver, rlang, scales,
rstudioapi (>= 0.8), rappdirs, ggplot2 (>= 3.3.0)",NA,"lattice, stats, withr, sysfonts, showtext, Cairo,
systemfonts, ragg, knitr, rmarkdown, htmltools, shiny (>=
1.5.0), bslib, testthat, gganimate, vdiffr, svglite, jsonlite,
curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"threejs","threejs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.3",NA,"R (>= 3.0.0), igraph (>= 1.0.0)","htmlwidgets (>= 0.3.2), base64enc, crosstalk, methods, stats",NA,"maps","knitr, shiny","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.1.6",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 1.0.0),
magrittr, methods, pillar (>= 1.6.2), pkgconfig, rlang (>=
0.4.3), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"tidybayes","tidybayes","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.3.1",NA,"R (>= 3.5.0)","ggdist (>= 2.3.0), plyr, dplyr (>= 0.8.0), tidyr (>= 1.0.0),
ggplot2 (>= 3.3.0), coda, purrr (>= 0.2.3), rlang (>= 0.3.0),
forcats, arrayhelpers, tidyselect, tibble, magrittr",NA,"knitr, testthat, vdiffr (>= 0.3.0), svglite, rstan (>=
2.17.0), runjags, rjags, jagsUI, rstanarm (>= 2.19.2), emmeans,
broom (>= 0.4.3), dotwhisker, MCMCglmm, bayesplot, modelr, brms
(>= 2.13.0), cowplot, covr, gdtools, rmarkdown, ggrepel,
bindrcpp, RColorBrewer, gganimate, gifski, png, pkgdown,
transformr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"tidygraph","tidygraph","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,NA,"tibble, dplyr (>= 0.8.5), igraph, magrittr, utils, rlang, R6,
Rcpp, tools, stats, tidyr, pillar","Rcpp","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"tidylog","tidylog","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,NA,"dplyr, tidyr, glue, clisymbols",NA,"testthat, covr, forcats, knitr, rmarkdown, bench",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.0",NA,"R (>= 3.1)","dplyr (>= 1.0.0), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.7)","cpp11 (>= 0.4.0)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1.2",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 1.0.1),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
3.1.1), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"tidytext","tidytext","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,"R (>= 2.10)","rlang (>= 0.4.10), tibble, dplyr, stringr, hunspell, generics,
lifecycle, Matrix, tokenizers, janeaustenr, purrr (>= 0.1.1),
methods, vctrs",NA,"readr, tidyr, XML, tm, quanteda, knitr, rmarkdown, ggplot2,
reshape2, wordcloud, topicmodels, NLP, scales, testthat (>=
2.1.0), vdiffr, mallet, stm, data.table, broom, textdata,
stopwords, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"timeSeries","timeSeries","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3062.100",NA,"R (>= 2.10), graphics, grDevices, stats, methods, utils,
timeDate (>= 2150.95)",NA,NA,"RUnit, robustbase, xts, PerformanceAnalytics, fTrading",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.32",NA,NA,"xfun (>= 0.23)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"tjm.praat","tjm.praat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,"R (>= 2.10)","tools, glue",NA,"readtextgrid, magick, purrr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"tjmisc","tjmisc","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.0.9000",NA,NA,"broom, dplyr, ggplot2, glue, Hmisc, magrittr, nlme, purrr,
readr, rlang (>= 0.1.6), stringi, stringr, testthat, tibble,
tidyr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"tm","tm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7-8",NA,"R (>= 3.2.0), NLP (>= 0.2-0)","Rcpp, parallel, slam (>= 0.1-37), stats, tools, utils,
graphics, xml2","BH, Rcpp","antiword, filehash, methods, pdftools, Rcampdf, Rgraphviz,
Rpoppler, SnowballC, testthat, tm.lexicon.GeneralInquirer",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"TMB","TMB","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.7.19",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"tmvnsim","tmvnsim","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"todor","todor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.1",NA,"R (>= 3.3)","stringr, rex, rstudioapi",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"tokenizers","tokenizers","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,"R (>= 3.1.3)","stringi (>= 1.0.1), Rcpp (>= 0.12.3), SnowballC (>= 0.5.1)","Rcpp","covr, knitr, rmarkdown, stopwords (>= 0.9.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"transformr","transformr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.3",NA,NA,"Rcpp (>= 0.12.15), tweenr, rlang, sf, lpSolve","Rcpp","magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"truncnorm","truncnorm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0-8",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.10-48",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.24.2",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"tufte","tufte","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.9.2",NA,NA,"htmltools, xfun (>= 0.13), knitr (>= 1.28), rmarkdown (>= 2.1)",NA,"testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"tuneR","tuneR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.3",NA,"R (>= 3.0.0)","signal, methods",NA,"pastecs",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.3), grDevices, farver, magrittr, rlang","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.2",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"udapi","udapi","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.3",NA,NA,"httr, curl",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"udpipe","udpipe","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.8.5",NA,"R (>= 2.10)","Rcpp (>= 0.11.5), data.table (>= 1.9.6), Matrix, methods,
stats","Rcpp","knitr, rmarkdown, topicmodels, lattice, parallel",NA,"MPL-2.0",NA,NA,NA,NA,"yes","4.0.2"
"units","units","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.7-1",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat,
ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"UpSetR","UpSetR","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3-0",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"usdm","usdm","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-18",NA,"methods, sp, raster",NA,NA,"rgdal (>= 0.6-28)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.0.1.9000",NA,"R (>= 3.2)","cli, clipr (>= 0.3.0), crayon, curl (>= 2.7), ellipsis, desc
(>= 1.3.0), fs (>= 1.3.0), gert (>= 1.0.2), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 0.4.10), rprojroot (>= 1.2), rstudioapi, stats,
utils, whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2,
spelling (>= 1.2), styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","4.0.3","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 4.0.3",NA,NA,NA,NA,"yes","4.0.3"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-4",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"V8","V8","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.4.2",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"vctrs","vctrs","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.1",NA,"R (>= 3.3)","cli (>= 3.2.0), glue, rlang (>= 1.0.2)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), withr, xml2, waldo (>= 0.2.0),
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"venneuler","venneuler","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.1-0",NA,"rJava",NA,NA,NA,NA,"MPL-1.1",NA,NA,NA,NA,NA,"4.0.0"
"vipor","vipor","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.5",NA,"R (>= 3.0.0)","stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"viridis","viridis","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.1",NA,"R (>= 2.10), viridisLite (>= 0.3.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj, vdiffr, svglite (>=
1.2.0), testthat, covr, rmarkdown, rgdal",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"visdat","visdat","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.3",NA,"R (>= 3.2.2)","ggplot2, tidyr, dplyr, purrr, readr, magrittr, stats, tibble,
glue",NA,"testthat, plotly (>= 4.5.6), knitr, rmarkdown, vdiffr,
gdtools, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"vitae","vitae","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.2",NA,"R (>= 3.5.0)","rlang, glue, dplyr, rmarkdown (>= 2.2), knitr, xfun, yaml,
tibble, vctrs (>= 0.3.3), pillar",NA,"covr, rorcid, testthat, stringr, htmltools",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"vroom","vroom","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.3",NA,"R (>= 3.1)","bit64, crayon, cli, glue, hms, lifecycle, methods, rlang (>=
0.4.2), stats, tibble (>= 2.0.0), tzdb (>= 0.1.1), vctrs (>=
0.2.0), tidyselect, withr","progress (>= 1.2.1), cpp11 (>= 0.2.0), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"waldo","waldo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4.0",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"WebPower","WebPower","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.2",NA,"R (>= 3.2.5), MASS, stats, grDevices, graphics, lme4, lavaan,
parallel, PearsonDS",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"webshot","webshot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.5.2",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"websocket","websocket","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.2",NA,NA,"Rcpp, R6, later (>= 1.1.0)","Rcpp, BH, AsioHeaders, later","httpuv, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"wesanderson","wesanderson","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.6",NA,"R (>= 3.0)",NA,NA,"ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"whoami","whoami","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.0",NA,NA,"httr, jsonlite, utils",NA,"covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"widgetframe","widgetframe","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.1",NA,"R (>= 3.1.0), htmlwidgets,","htmltools, purrr, magrittr, utils, tools",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"wordcloud","wordcloud","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.6",NA,"methods, RColorBrewer","Rcpp (>= 0.9.4)","Rcpp","tm (>= 0.6), slam",NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.0.0"
"wordcloud2","wordcloud2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.2.1",NA,"R (>= 3.1.0)","htmlwidgets, base64enc, grDevices, graphics",NA,"knitr, rmarkdown, webshot","shiny (>= 0.12)","GPL-2",NA,NA,NA,NA,"no","4.0.0"
"wordcountaddin","wordcountaddin","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.3.0.9000",NA,NA,"fs, knitr, koRpus, koRpus.lang.en, miniUI (>= 0.1.1), purrr,
rstudioapi (>= 0.5), shiny (>= 0.13), stringi, sylly, sylly.en",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"wordnet","wordnet","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1-15",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"WrapRmd","WrapRmd","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.0.0.9003",NA,"R (>= 3.1.0)","commonmark, rstudioapi, stringi, stringr (>= 1.0.0), magrittr,
knitr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.1"
"wrassp","wrassp","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.0",NA,"R (>= 3.1.1), tibble(>= 2.1.0)",NA,NA,"compare(>= 0.2.4), rmarkdown, knitr, testthat(>= 0.7.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"xaringan","xaringan","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.20",NA,NA,"htmltools, knitr (>= 1.30), servr (>= 0.13), xfun (>= 0.18),
rmarkdown (>= 2.7)",NA,"rstudioapi, testit",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"xfun","xfun","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.24",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, renv, curl,
jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"xlsx","xlsx","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.5",NA,NA,"rJava, xlsxjars, grDevices, utils",NA,"rprojroot, testthat, covr, tibble, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"xlsxjars","xlsxjars","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.6.1",NA,"rJava",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"XML","XML","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","3.99-0.6",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.3.2",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"xopen","xopen","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"xts","xts","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.12.1",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.1",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"yesno","yesno","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.2",NA,"R (>= 3.3)","utils",NA,"testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"zeallot","zeallot","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","0.1.0",NA,NA,NA,NA,"testthat, knitr, rmarkdown, purrr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"zip","zip","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","2.2.0",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"zoib","zoib","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.5.4",NA,"R (>= 3.3.0), rjags, coda, matrixcalc, Formula, abind",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.0"
"zoo","zoo","/Library/Frameworks/R.framework/Versions/4.0/Resources/library","1.8-9",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, fts, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
